 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                    
 Date: ***. 0.    Time: ***:**: 0
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]

  45   -88.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  46   -90.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  47   -92.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  48   -94.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  49   -96.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  50   -98.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  51  -100.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  52  -102.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  53  -104.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  54  -106.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  55  -108.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  56  -110.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  57  -112.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  58  -114.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  59  -116.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
  60  -118.0000   -1328.690 0.0708   0.9462E-07  0.3963E-05 -0.9462E-07  0.0000E+00      -1  -0.892E-09   20.00
